"","cust_id","age","area","num_bask","num_item","spend","num_productId","num_productCat","ipc_max","ipc_med","ipc_min","spc_max","spc_med","spc_min","productCat_min","productCat_med","productCat_max","popcat_nbaskA","popcat_nbaskB","popcat_nbaskC","popcat_nbaskD","popcat_nbaskE","popcat_sizeA","popcat_sizeB","popcat_sizeC","popcat_sizeD","popcat_sizeE","popid_nbaskA","popid_nbaskB","popid_nbaskC","popid_nbaskD","popid_nbaskE","poppriceA","poppriceB","poppriceC","poppriceD","poppriceE"
"1","100021",3,5,132,172,15204,113,76,25,8.5,3,2574,836.5,139,2,6.5,14,1,1,3,21,106,3,3,6,24,96,2,5,11,32,82,71,32,17,9,3
"2","1000375",7,6,52,70,8288,48,36,25,11,9,4421,1144,577,6,8,13,0,0,0,1,51,0,0,1,14,37,0,0,1,1,50,22,19,7,3,1
"3","1000467",2,6,12,14,1849,12,9,12,7,2,1797,924.5,52,1,4.5,8,0,0,0,2,10,0,0,0,5,7,0,0,0,3,9,1,4,1,5,1
"4","1000627",11,8,2,2,203,2,2,2,2,2,203,203,203,2,2,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0
"5","1000962",11,8,11,14,2402,10,10,7,6,1,1859,510,33,1,3,7,0,0,0,1,10,0,1,1,2,7,0,1,1,0,9,5,3,2,0,1
"6","1001129",7,6,18,32,4134,18,12,29,16,3,3930,2067,204,3,6,9,0,0,0,2,16,0,0,0,0,18,0,1,1,0,16,7,7,2,0,2
"7","100120",8,5,28,30,2729,26,26,17,9,4,1704,732,293,4,8,16,0,1,2,6,19,0,2,9,8,9,1,1,3,6,17,12,6,6,2,2
"8","100144",5,6,7,8,340,7,6,6,4,2,208,170,132,2,3,4,0,0,1,0,6,0,0,1,2,4,0,0,1,1,5,4,2,1,0,0
"9","1001679",5,5,8,8,654,8,7,8,8,8,654,654,654,7,7,7,0,0,0,0,8,0,0,0,0,8,1,0,0,0,7,4,1,2,1,0
"10","100175",7,5,5,5,1034,5,5,2,2,1,578,271,185,1,2,2,0,0,0,1,4,0,0,1,1,3,0,0,0,2,3,1,0,1,2,1
"11","1001754",4,5,14,16,1175,14,12,16,16,16,1175,1175,1175,12,12,12,0,0,1,3,10,0,1,2,2,9,0,0,2,5,7,4,9,1,0,0
"12","1001846",7,5,27,34,6599,27,21,12,4.5,3,1742,1175,291,1,4,9,0,0,1,1,25,0,2,2,2,21,0,1,0,5,21,6,7,6,5,3
"13","100199",7,5,42,61,4573,38,31,24,15.5,6,1524,1302,445,2,8.5,16,0,0,0,3,39,4,1,2,15,20,0,2,0,6,34,17,17,4,3,1
"14","1002119",6,6,12,14,1141,12,10,9,7,5,726,570.5,415,2,5,8,0,0,0,0,12,0,0,3,5,4,0,0,0,1,11,1,8,3,0,0
"15","100236",10,7,3,3,1643,3,3,3,3,3,1643,1643,1643,3,3,3,0,0,0,2,1,0,0,0,1,2,1,0,0,1,1,0,0,1,1,1
"16","1002362",4,6,5,5,447,5,5,5,5,5,447,447,447,5,5,5,0,0,1,2,2,0,1,0,1,3,0,1,1,1,2,3,0,1,0,1
"17","1002577",8,6,6,9,883,6,6,9,9,9,883,883,883,6,6,6,0,0,0,0,6,1,0,0,1,4,0,0,0,0,6,3,2,1,0,0
"18","1002652",11,8,6,8,887,6,6,8,8,8,887,887,887,6,6,6,0,0,0,2,4,1,0,0,3,2,0,0,1,1,4,3,1,1,1,0
"19","1002706",11,5,34,47,5121,31,23,25,19,3,2605,1687,829,2,12,14,0,0,0,4,30,0,0,2,5,27,0,2,0,7,25,13,13,5,3,0
"20","1002904",7,6,43,55,7881,41,36,23,13.5,5,3618,2011.5,240,5,9,16,0,0,0,1,42,0,0,1,14,28,0,0,2,2,39,13,11,11,8,0
"21","1003123",4,6,10,17,15254,10,10,17,17,17,15254,15254,15254,10,10,10,0,0,0,2,8,1,0,1,2,6,1,0,0,0,9,4,4,0,1,1
"22","1003130",4,6,58,73,12119,53,49,29,15,6,7501,1313,603,5,13,19,0,0,3,10,45,0,5,6,8,39,0,2,2,11,43,13,16,18,10,1
"23","1003154",3,6,5,6,650,5,5,6,6,6,650,650,650,5,5,5,0,0,0,0,5,0,0,0,1,4,0,0,0,2,3,0,1,3,1,0
